parameter_id;seq_no;value;description;created_by;created_date;created_time;updated_by;updated_date;updated_time
status_checking;1;5;Status Checking Stock dari Warehouse;;14/01/2021;14:12:33;;;
cond_type_motorist;1;ZP04;Standard Condition Type Motorist;;14/01/2021;14:11:41;;;
ref_doc_type_canvass;1;DLV;ref_doc_type_canvass;;18/01/2022;12:12:25;;;
doc_type_dt;1;RV;Billing Doc.Transfer;;14/02/2022;18:32:24;;;
doc_type_dt;2;RZ;Return Billing Doc;;14/01/2021;14:13:05;;;
doc_type_dt;3;AB;Accounting Document;;12/07/2022;11:22:26;;;
doc_type_dt;4;RC;Billing Claim;;14/01/2021;14:13:53;;;
doc_type_dt;5;DR;Customer Invoice;;14/01/2021;14:14:43;;;
ot_cvs_foc;1;ZS14;Order Type SAP for SFA Sampling;;14/01/2021;14:14:13;;;
cond_type_surcharge;1;ZS11;Standard Condition Type Motorist;;24/02/2021;13:51:08;;;
cond_type_basic_price_motorist;1;ZP04;Standard Condition Type Motorist;;14/01/2021;14:14:28;;;
order_sampling_reason_id;1;210;Order reason for sampling brand use;;23/02/2024;15:38:33;;;
dist_chan_traditional_trade;1;12;Distribution Channel Traditional Trade;;14/01/2021;14:11:56;;;
division_dry;1;11;division;;14/01/2021;14:12:15;;;
download_material_bonus;1;"3;'ZPI1', 'ZPI2'";"Parameter sales type yang dapat download material bonus (sls_type1,sls_type2,..;mat_type1,mat_type2)";;14/01/2021;14:14:57;;;
cond_type_promo_motorist;1;ZD30;Condition Type Promo Motorist;;14/01/2021;14:13:22;;;
item_category_free_goods;1;ZCI2;Item category for material free goods;;14/01/2021;14:13:37;;;
time_out;1;600000;timeout;;12/10/2022;17:19:40;;;
download_material_dist_chan;1;12;Download material dist chan;;14/01/2021;14:04:00;;;
ship_cond_non_ship;1;16;Order Konsinyasi Titip Barang Isi shipping condition default value;;18/01/2022;12:12:05;;;
item_category_sampling;1;ZKL8;Item Category SO Sampling;;14/01/2021;14:12:49;;;
sat_apps;1;SFA4;Order Type SAP for SFA Sampling;;18/01/2022;13:00:43;;;
ot_cvs_pickup;1;ZS06;Canvass Pick Up (Turun Barang);;14/02/2022;18:31:57;;;
item_category_finished_goods;1;ZCI1;Item category for material finished goods;;01/01/2026;19:31:57;;;
overlay_distance_tolerance;1;10000;toleransi overlay untuk handover stock;;01/01/2026;20:31:57;;;
type_mode_canvass_isi;1;CI;Mode Canvass Isi;;01/01/2026;21:31:57;;;
material_type_finished_good;1;ZFG1;Material Type untuk Finished Goods;;01/01/2026;22:31:57;;;
bucket_s3;1;s4tuwings-testing-smb;Bucket S3 for SFA Sampling;;01/01/2026;23:31:57;;;
ot_cvs_fillup;1;ZS05;Canvass Fill Up (Isi);;01/01/2026;0:31:57;;;
price_calc_step;1;"ZP01;+";"cond_type;operator";;01/01/2026;1:31:57;;;
price_calc_step;2;"ZD01;-";"cond_type;operator";;01/01/2026;2:31:57;;;
price_calc_step;3;"ZS01;+";"cond_type;operator";;01/01/2026;3:31:57;;;
price_calc_step;4;"ZS07;+";"cond_type;operator";;01/01/2026;4:31:57;;;
currency;1;IDR;SO currency default value;;01/01/2026;5:31:57;;;
ot_cvs_issue;1;ZS07;Order Type SAP for SFA Sampling;;01/01/2026;6:31:57;;;
approval_max_step;1;3;Approval max step;;01/01/2026;7:31:57;;;
approval_max_step_edit;1;1;Approval max step Edit;;01/01/2026;8:31:57;;;
auto_tagging;1;X;auto taggin in minutes;;01/01/2026;9:31:57;;;
auto_tagging_duration;1;60;Durasi auto tagging (in second);;01/01/2026;10:31:57;;;
FilterSlsOffice;1;ALL;Parameter Sales Office untuk Upload SO Canvass;;01/01/2026;11:31:57;;;
get_location_max_loop;1;2;Maximum attempt to get GPS when scan office and start-end sampling;;01/01/2026;12:31:57;;;
get_location_time_loop;1;1;Time out get location;;01/01/2026;13:31:57;;;
image_extension;1;.jpg;Parameter untuk menentukan extensi image.;;01/01/2026;14:31:57;;;
image_main_path;1;/sampling;main image folder path;;01/01/2026;15:31:57;;;
image_max_qty;1;60;Parameter untuk membatasi upload qty image di PDA Sampling;;01/01/2026;16:31:57;;;
image_sampling;1;sampling;sampling path;;01/01/2026;17:31:57;;;
material_prodhier3_validation;1;OFF;"ON = Tidak bisa pilih barang >1 untuk prod_hier3 yg sama, OFF = Bisa pilih >1 barang dari prod_hier3";;01/01/2026;18:31:57;;;
max_day_sampling_schedule;1;60;Max Day Sampling Schedule;;01/01/2026;19:31:57;;;
overlay_limit;1;2000;Limit overlay dalam meter;;01/01/2026;20:31:57;;;
range_terminatesales;1;30;Range to terminate sales (Move to m_hist_system);;01/01/2026;21:31:57;;;
range_upload_after_cvs;1;1;date difference for upload sap and sales Canvasser;;01/01/2026;22:31:57;;;
range_upload_before_cvs;1;12;date difference for upload sap and sales Canvasser;;01/01/2026;23:31:57;;;
release_schedule_sampling;1;0;selisih tanggal start date dan today untuk release schedule sampling tidak aktif;;01/01/2026;0:31:57;;;
request_material_start_date;1;3;Request Barang;;01/01/2026;1:31:57;;;
timeout_upload_tracking;1;20;timeout upload data tracking (in second);;01/01/2026;2:31:57;;;
upload_path;1;/opt/logs/;path for log upload sap;;01/01/2026;3:31:57;;;
upload_tagging;1;X;"parameter untuk Auto upload tagging SFA, X = ON, N = OFF";;01/01/2026;4:31:57;;;
upload_tagging_duration;1;60;Durasi upload tagging (in second) ke table t_tracking_seq;;01/01/2026;5:31:57;;;
